mm/dd/yy-HH:MM,Int,Ext,Tds,Sal,Con,Bat
3/15/20-16:04,78.8,71.6,48,0,88.46,4.21
3/15/20-16:34,77.9,71.6,49,0,89.94,4.21
3/15/20-17:04,77,71.6,48,0,89.56,4.21
3/15/20-17:34,76.1,71.6,47,0,87.73,4.21
3/15/20-18:04,74.3,71.6,51,0,94.04,4.21
3/15/20-18:34,72.5,71.6,48,0,88.14,4.21
3/15/20-19:04,71.6,71.6,48,0,89.25,4.21
3/15/20-19:34,70.7,71.6,48,0,88.9,4.21
3/15/20-20:04,70.7,71.6,46,0,85.2,4.21
3/15/20-20:34,69.8,70.7,50,0,91.71,4.21
3/15/20-21:04,69.8,70.7,16,0,29.24,4.21
3/15/20-21:34,69.8,70.7,15,0,27.76,4.21
3/15/20-22:04,69.8,70.7,14,0,25.91,4.21
3/15/20-22:34,69.8,70.7,13,0,24.8,4.21
3/15/20-23:04,69.8,70.7,13,0,23.68,4.21
3/15/20-23:34,69.8,70.7,12,0,22.94,4.21
3/16/20-0:04,69.8,70.7,12,0,22.57,4.21
3/16/20-0:34,69.8,70.7,12,0,22.19,4.21
3/16/20-1:04,69.8,70.7,11,0,21.1,4.21
3/16/20-1:34,69.8,70.7,11,0,20.72,4.21
3/16/20-2:04,69.8,70.7,11,0,20.34,4.21
3/16/20-2:34,69.8,70.7,11,0,20.33,4.21
3/16/20-3:04,69.8,70.7,11,0,19.6,4.21
3/16/20-3:34,69.8,70.7,10,0,19.22,4.21
3/16/20-4:04,69.8,70.7,11,0,19.6,4.21
3/16/20-4:34,69.8,70.7,11,0,19.6,4.21
3/16/20-5:04,69.8,70.7,11,0,19.6,4.21
3/16/20-5:34,69.8,70.7,11,0,19.6,4.21
3/16/20-6:04,69.8,70.7,11,0,19.6,4.21
3/16/20-6:34,69.8,70.7,11,0,19.98,4.21
3/16/20-7:04,69.8,70.7,11,0,20.34,4.21
3/16/20-7:34,69.8,70.7,11,0,20.71,4.21
3/16/20-8:04,69.8,70.7,11,0,20.71,4.21
3/16/20-8:34,70.7,70.7,11,0,20.33,4.21
3/16/20-9:04,71.6,70.7,11,0,21.09,4.21
3/16/20-9:34,71.6,71.6,12,0,21.59,4.21
3/16/20-10:04,72.5,71.6,11,0,21.22,4.21
3/16/20-10:34,72.5,71.6,11,0,21.22,4.21
3/16/20-11:04,73.4,71.6,12,0,21.59,4.21
3/16/20-11:34,76.1,71.6,12,0,22.31,4.21
